61;Quel pays possède le plus grand nombre de fuseaux horaires ?;Chine;Russie;États-Unis;France;D;
62;Quelle est la capitale de l’Australie ?;Sydney;Melbourne;Canberra;Perth;C;
63;Dans quel pays se trouve le mont Kilimandjaro ?;Kenya;Éthiopie;Tanzanie;Afrique du Sud;C;
65;Quel instrument de navigation utilise l’aiguille aimantée ?;Baromètre;Altimètre;Compas;Anémomètre;C;
70;Quel est l’élément chimique dont le symbole est Na ?;Azote;Sodium;Nickel;Néon;B;
71;Quel est le nom du président américain pendant la Seconde Guerre mondiale ?;Roosevelt;Kennedy;Truman;Eisenhower;A;
75;Dans quelle ville se trouve le siège de l’Union européenne ?;Luxembourg;Paris;Bruxelles;Strasbourg;C;
76;Quel philosophe grec a été le maître de Platon ?;Socrate;Aristote;Épicure;Pythagore;A;
77;Quel est le pays le plus vaste du monde en superficie ?;Canada;Chine;États-Unis;Russie;D;
78;En quelle année a eu lieu la Révolution française ?;1776;1789;1804;1815;B;
79;Dans quel pays trouve-t-on les ruines de Machu Picchu ?;Colombie;Mexique;Pérou;Bolivie;C;
80;Quelle molécule est responsable de la transmission de l'information génétique ?;ARN;Glucose;ADN;Insuline;C;
83;Quel est le tableau le plus célèbre de Salvador Dalí ?;Guernica;Les Demoiselles d'Avignon;La Persistance de la mémoire;Le Cri;C;
86;Quel écrivain français a écrit *Madame Bovary* ?;Zola;Flaubert;Maupassant;Hugo;B;
87;Quel pays est le premier producteur mondial de cacao ?;Brésil;Colombie;Côte d'Ivoire;Indonésie;C;
88;Quelle unité mesure la pression atmosphérique ?;Hertz;Pascal;Bar;Newton;B;
91;Quel est le nom de l’accord qui a mis fin à la Première Guerre mondiale ?;Traité de Versailles;Traité de Rome;Traité de Vienne;Traité de Maastricht;A;
92;Quel écrivain russe est l’auteur de *Crime et Châtiment* ?;Tolstoï;Dostoïevski;Tchekhov;Pouchkine;B;
93;Quelle est la capitale de la Lituanie ?;Riga;Tallinn;Vilnius;Varsovie;C;
94;En physique, que signifie E=mc² ?;Énergie = masse x célérité au carré;Énergie = matière compressée au carré;Électromagnétisme = courant de maintient au carré;Équilibre = mouvement constant au carre;A;
95;Quelle est la religion majoritaire en Indonésie ?;Christianisme;Hindouisme;Islam;Bouddhisme;C;
96;Quel compositeur est célèbre pour ses symphonies et sa surdité ?;Mozart;Brahms;Beethoven;Chopin;C;
97;Quel est le nom de la zone de libre-échange entre les pays d'Amérique du Nord ?;UE;OTAN;ALENA;Mercosur;C;
98;Quel pays fut autrefois appelé Ceylan ?;Inde;Birmanie;Sri Lanka;Thaïlande;C;
99;Quel est le plus grand satellite naturel du système solaire ?;Lune;Io;Ganymède;Titan;C;
100;Quel philosophe a écrit *Critique de la raison pure* ?;Descartes;Spinoza;Kant;Nietzsche;C;
101;Qui a été le premier président de la Cinquième République française ?;Pompidou;Mitterrand;De Gaulle;Giscard d’Estaing;C;
102;Quelle bataille de 1815 marque la fin de l’Empire napoléonien ?;Austerlitz;Waterloo;Iéna;Borodino;B;
